index_7networks,name_7networks,x,y,z,index_17networks,name_17networks,17net,7net,index,region
749.0,7Networks_RH_SalVentAttn_TempOccPar_4,51.0,-40.0,13.0,996.0,17Networks_RH_TempPar_18,TempPar,SalVentAttn,747,7Networks_RH_SalVentAttn_TempOccPar_4
750.0,7Networks_RH_SalVentAttn_TempOccPar_5,55.0,-40.0,20.0,1000.0,17Networks_RH_TempPar_22,TempPar,SalVentAttn,748,7Networks_RH_SalVentAttn_TempOccPar_5
751.0,7Networks_RH_SalVentAttn_TempOccPar_6,65.0,-31.0,19.0,721.0,17Networks_RH_SalVentAttnA_ParOper_1,SalVentAttnA,SalVentAttn,749,7Networks_RH_SalVentAttn_TempOccPar_6
752.0,7Networks_RH_SalVentAttn_TempOccPar_7,54.0,-33.0,23.0,722.0,17Networks_RH_SalVentAttnA_ParOper_2,SalVentAttnA,SalVentAttn,750,7Networks_RH_SalVentAttn_TempOccPar_7
753.0,7Networks_RH_SalVentAttn_TempOccPar_8,65.0,-39.0,20.0,723.0,17Networks_RH_SalVentAttnA_ParOper_3,SalVentAttnA,SalVentAttn,751,7Networks_RH_SalVentAttn_TempOccPar_8
754.0,7Networks_RH_SalVentAttn_TempOccPar_9,51.0,-27.0,25.0,724.0,17Networks_RH_SalVentAttnA_ParOper_4,SalVentAttnA,SalVentAttn,752,7Networks_RH_SalVentAttn_TempOccPar_9
755.0,7Networks_RH_SalVentAttn_TempOccPar_10,64.0,-31.0,29.0,725.0,17Networks_RH_SalVentAttnA_ParOper_5,SalVentAttnA,SalVentAttn,753,7Networks_RH_SalVentAttn_TempOccPar_10
756.0,7Networks_RH_SalVentAttn_TempOccPar_11,61.0,-20.0,19.0,726.0,17Networks_RH_SalVentAttnA_ParOper_6,SalVentAttnA,SalVentAttn,754,7Networks_RH_SalVentAttn_TempOccPar_11
757.0,7Networks_RH_SalVentAttn_TempOccPar_12,55.0,-31.0,33.0,727.0,17Networks_RH_SalVentAttnA_ParOper_7,SalVentAttnA,SalVentAttn,755,7Networks_RH_SalVentAttn_TempOccPar_12
758.0,7Networks_RH_SalVentAttn_TempOccPar_13,64.0,-40.0,28.0,772.0,17Networks_RH_SalVentAttnB_IPL_2,SalVentAttnB,SalVentAttn,756,7Networks_RH_SalVentAttn_TempOccPar_13
