index_7networks,name_7networks,x,y,z,index_17networks,name_17networks,17net,7net,index,region
842.0,7Networks_RH_Limbic_TempPole_17,42.0,13.0,-21.0,828.0,17Networks_RH_LimbicA_TempPole_15,LimbicA,Limbic,840,7Networks_RH_Limbic_TempPole_17
843.0,7Networks_RH_Cont_Par_1,61.0,-45.0,32.0,863.0,17Networks_RH_ContB_IPL_2,ContB,Cont,841,7Networks_RH_Cont_Par_1
844.0,7Networks_RH_Cont_Par_2,59.0,-46.0,41.0,864.0,17Networks_RH_ContB_IPL_3,ContB,Cont,842,7Networks_RH_Cont_Par_2
845.0,7Networks_RH_Cont_Par_3,59.0,-38.0,39.0,774.0,17Networks_RH_SalVentAttnB_IPL_4,SalVentAttnB,Cont,843,7Networks_RH_Cont_Par_3
846.0,7Networks_RH_Cont_Par_4,40.0,-76.0,42.0,865.0,17Networks_RH_ContB_IPL_4,ContB,Cont,844,7Networks_RH_Cont_Par_4
847.0,7Networks_RH_Cont_Par_5,55.0,-51.0,46.0,867.0,17Networks_RH_ContB_IPL_6,ContB,Cont,845,7Networks_RH_Cont_Par_5
848.0,7Networks_RH_Cont_Par_6,60.0,-32.0,50.0,832.0,17Networks_RH_ContA_IPS_2,ContA,Cont,846,7Networks_RH_Cont_Par_6
849.0,7Networks_RH_Cont_Par_7,55.0,-41.0,48.0,868.0,17Networks_RH_ContB_IPL_7,ContB,Cont,847,7Networks_RH_Cont_Par_7
850.0,7Networks_RH_Cont_Par_8,47.0,-57.0,54.0,870.0,17Networks_RH_ContB_IPL_9,ContB,Cont,848,7Networks_RH_Cont_Par_8
851.0,7Networks_RH_Cont_Par_9,53.0,-34.0,49.0,833.0,17Networks_RH_ContA_IPS_3,ContA,Cont,849,7Networks_RH_Cont_Par_9
852.0,7Networks_RH_Cont_Par_10,49.0,-44.0,49.0,871.0,17Networks_RH_ContB_IPL_10,ContB,Cont,850,7Networks_RH_Cont_Par_10
853.0,7Networks_RH_Cont_Par_11,48.0,-50.0,55.0,872.0,17Networks_RH_ContB_IPL_11,ContB,Cont,851,7Networks_RH_Cont_Par_11
854.0,7Networks_RH_Cont_Par_12,49.0,-39.0,47.0,834.0,17Networks_RH_ContA_IPS_4,ContA,Cont,852,7Networks_RH_Cont_Par_12
855.0,7Networks_RH_Cont_Par_13,38.0,-68.0,50.0,835.0,17Networks_RH_ContA_IPS_5,ContA,Cont,853,7Networks_RH_Cont_Par_13
856.0,7Networks_RH_Cont_Par_14,42.0,-58.0,50.0,873.0,17Networks_RH_ContB_IPL_12,ContB,Cont,854,7Networks_RH_Cont_Par_14
857.0,7Networks_RH_Cont_Par_15,43.0,-49.0,47.0,838.0,17Networks_RH_ContA_IPS_8,ContA,Cont,855,7Networks_RH_Cont_Par_15
858.0,7Networks_RH_Cont_Par_16,44.0,-39.0,44.0,839.0,17Networks_RH_ContA_IPS_9,ContA,Cont,856,7Networks_RH_Cont_Par_16
859.0,7Networks_RH_Cont_Par_17,35.0,-52.0,42.0,841.0,17Networks_RH_ContA_IPS_11,ContA,Cont,857,7Networks_RH_Cont_Par_17
860.0,7Networks_RH_Cont_Temp_1,59.0,-29.0,-23.0,857.0,17Networks_RH_ContB_Temp_1,ContB,Cont,858,7Networks_RH_Cont_Temp_1
861.0,7Networks_RH_Cont_Temp_2,60.0,-39.0,-19.0,859.0,17Networks_RH_ContB_Temp_3,ContB,Cont,859,7Networks_RH_Cont_Temp_2
862.0,7Networks_RH_Cont_Temp_3,64.0,-41.0,-10.0,861.0,17Networks_RH_ContB_Temp_5,ContB,Cont,860,7Networks_RH_Cont_Temp_3
863.0,7Networks_RH_Cont_Temp_4,65.0,-47.0,-3.0,830.0,17Networks_RH_ContA_Temp_2,ContA,Cont,861,7Networks_RH_Cont_Temp_4
864.0,7Networks_RH_Cont_PFCv_1,34.0,20.0,-7.0,784.0,17Networks_RH_SalVentAttnB_Ins_2,SalVentAttnB,Cont,862,7Networks_RH_Cont_PFCv_1
865.0,7Networks_RH_Cont_PFCv_2,35.0,26.0,-7.0,785.0,17Networks_RH_SalVentAttnB_Ins_3,SalVentAttnB,Cont,863,7Networks_RH_Cont_PFCv_2
866.0,7Networks_RH_Cont_PFCl_1,24.0,40.0,-16.0,806.0,17Networks_RH_LimbicB_OFC_9,LimbicB,Cont,864,7Networks_RH_Cont_PFCl_1
867.0,7Networks_RH_Cont_PFCl_2,28.0,52.0,-14.0,886.0,17Networks_RH_ContB_PFClv_2,ContB,Cont,865,7Networks_RH_Cont_PFCl_2
868.0,7Networks_RH_Cont_PFCl_3,40.0,52.0,-12.0,887.0,17Networks_RH_ContB_PFClv_3,ContB,Cont,866,7Networks_RH_Cont_PFCl_3
869.0,7Networks_RH_Cont_PFCl_4,32.0,59.0,-2.0,888.0,17Networks_RH_ContB_PFClv_4,ContB,Cont,867,7Networks_RH_Cont_PFCl_4
870.0,7Networks_RH_Cont_PFCl_5,44.0,49.0,-4.0,889.0,17Networks_RH_ContB_PFClv_5,ContB,Cont,868,7Networks_RH_Cont_PFCl_5
871.0,7Networks_RH_Cont_PFCl_6,23.0,63.0,2.0,890.0,17Networks_RH_ContB_PFClv_6,ContB,Cont,869,7Networks_RH_Cont_PFCl_6
872.0,7Networks_RH_Cont_PFCl_7,50.0,40.0,4.0,781.0,17Networks_RH_SalVentAttnB_PFClv_1,SalVentAttnB,Cont,870,7Networks_RH_Cont_PFCl_7
873.0,7Networks_RH_Cont_PFCl_8,41.0,50.0,7.0,782.0,17Networks_RH_SalVentAttnB_PFClv_2,SalVentAttnB,Cont,871,7Networks_RH_Cont_PFCl_8
874.0,7Networks_RH_Cont_PFCl_9,31.0,55.0,10.0,891.0,17Networks_RH_ContB_PFClv_7,ContB,Cont,872,7Networks_RH_Cont_PFCl_9
875.0,7Networks_RH_Cont_PFCl_10,54.0,31.0,14.0,844.0,17Networks_RH_ContA_PFCl_1,ContA,Cont,873,7Networks_RH_Cont_PFCl_10
876.0,7Networks_RH_Cont_PFCl_11,26.0,61.0,15.0,892.0,17Networks_RH_ContB_PFClv_8,ContB,Cont,874,7Networks_RH_Cont_PFCl_11
877.0,7Networks_RH_Cont_PFCl_12,42.0,39.0,12.0,845.0,17Networks_RH_ContA_PFCl_2,ContA,Cont,875,7Networks_RH_Cont_PFCl_12
878.0,7Networks_RH_Cont_PFCl_13,54.0,18.0,20.0,846.0,17Networks_RH_ContA_PFCl_3,ContA,Cont,876,7Networks_RH_Cont_PFCl_13
879.0,7Networks_RH_Cont_PFCl_14,42.0,48.0,18.0,775.0,17Networks_RH_SalVentAttnB_PFCl_1,SalVentAttnB,Cont,877,7Networks_RH_Cont_PFCl_14
880.0,7Networks_RH_Cont_PFCl_15,46.0,29.0,21.0,848.0,17Networks_RH_ContA_PFCl_5,ContA,Cont,878,7Networks_RH_Cont_PFCl_15
881.0,7Networks_RH_Cont_PFCl_16,44.0,18.0,24.0,849.0,17Networks_RH_ContA_PFCl_6,ContA,Cont,879,7Networks_RH_Cont_PFCl_16
882.0,7Networks_RH_Cont_PFCl_17,25.0,55.0,26.0,777.0,17Networks_RH_SalVentAttnB_PFCl_3,SalVentAttnB,Cont,880,7Networks_RH_Cont_PFCl_17
883.0,7Networks_RH_Cont_PFCl_18,46.0,36.0,26.0,850.0,17Networks_RH_ContA_PFCl_7,ContA,Cont,881,7Networks_RH_Cont_PFCl_18
884.0,7Networks_RH_Cont_PFCl_19,38.0,41.0,29.0,778.0,17Networks_RH_SalVentAttnB_PFCl_4,SalVentAttnB,Cont,882,7Networks_RH_Cont_PFCl_19
885.0,7Networks_RH_Cont_PFCl_20,51.0,24.0,31.0,874.0,17Networks_RH_ContB_PFCld_1,ContB,Cont,883,7Networks_RH_Cont_PFCl_20
886.0,7Networks_RH_Cont_PFCl_21,41.0,17.0,30.0,852.0,17Networks_RH_ContA_PFCl_9,ContA,Cont,884,7Networks_RH_Cont_PFCl_21
887.0,7Networks_RH_Cont_PFCl_22,44.0,30.0,36.0,875.0,17Networks_RH_ContB_PFCld_2,ContB,Cont,885,7Networks_RH_Cont_PFCl_22
888.0,7Networks_RH_Cont_PFCl_23,37.0,9.0,35.0,853.0,17Networks_RH_ContA_PFCl_10,ContA,Cont,886,7Networks_RH_Cont_PFCl_23
889.0,7Networks_RH_Cont_PFCl_24,35.0,36.0,40.0,780.0,17Networks_RH_SalVentAttnB_PFCl_6,SalVentAttnB,Cont,887,7Networks_RH_Cont_PFCl_24
890.0,7Networks_RH_Cont_PFCl_25,47.0,16.0,39.0,876.0,17Networks_RH_ContB_PFCld_3,ContB,Cont,888,7Networks_RH_Cont_PFCl_25
891.0,7Networks_RH_Cont_PFCl_26,40.0,10.0,45.0,877.0,17Networks_RH_ContB_PFCld_4,ContB,Cont,889,7Networks_RH_Cont_PFCl_26
892.0,7Networks_RH_Cont_PFCl_27,41.0,23.0,47.0,878.0,17Networks_RH_ContB_PFCld_5,ContB,Cont,890,7Networks_RH_Cont_PFCl_27
893.0,7Networks_RH_Cont_PFCl_28,33.0,30.0,47.0,879.0,17Networks_RH_ContB_PFCld_6,ContB,Cont,891,7Networks_RH_Cont_PFCl_28
894.0,7Networks_RH_Cont_PFCl_29,45.0,6.0,51.0,880.0,17Networks_RH_ContB_PFCld_7,ContB,Cont,892,7Networks_RH_Cont_PFCl_29
895.0,7Networks_RH_Cont_PFCl_30,38.0,10.0,58.0,881.0,17Networks_RH_ContB_PFCld_8,ContB,Cont,893,7Networks_RH_Cont_PFCl_30
896.0,7Networks_RH_Cont_PFCl_31,31.0,17.0,53.0,882.0,17Networks_RH_ContB_PFCld_9,ContB,Cont,894,7Networks_RH_Cont_PFCl_31
897.0,7Networks_RH_Cont_PFCl_32,25.0,17.0,46.0,883.0,17Networks_RH_ContB_PFCld_10,ContB,Cont,895,7Networks_RH_Cont_PFCl_32
898.0,7Networks_RH_Cont_PFCl_33,20.0,18.0,62.0,884.0,17Networks_RH_ContB_PFCld_11,ContB,Cont,896,7Networks_RH_Cont_PFCl_33
899.0,7Networks_RH_Cont_PFCl_34,24.0,9.0,63.0,843.0,17Networks_RH_ContA_PFCd_1,ContA,Cont,897,7Networks_RH_Cont_PFCl_34
900.0,7Networks_RH_Cont_pCun_1,14.0,-68.0,35.0,897.0,17Networks_RH_ContC_pCun_2,ContC,Cont,898,7Networks_RH_Cont_pCun_1
901.0,7Networks_RH_Cont_pCun_3,14.0,-75.0,44.0,899.0,17Networks_RH_ContC_pCun_4,ContC,Cont,899,7Networks_RH_Cont_pCun_3
902.0,7Networks_RH_Cont_pCun_5,5.0,-74.0,46.0,902.0,17Networks_RH_ContC_pCun_7,ContC,Cont,900,7Networks_RH_Cont_pCun_5
904.0,7Networks_RH_Cont_Cing_2,6.0,9.0,28.0,855.0,17Networks_RH_ContA_Cingm_1,ContA,Cont,901,7Networks_RH_Cont_Cing_2
905.0,7Networks_RH_Cont_Cing_3,7.0,-32.0,27.0,909.0,17Networks_RH_ContC_Cingp_3,ContC,Cont,902,7Networks_RH_Cont_Cing_3
906.0,7Networks_RH_Cont_Cing_4,5.0,-2.0,30.0,856.0,17Networks_RH_ContA_Cingm_2,ContA,Cont,903,7Networks_RH_Cont_Cing_4
907.0,7Networks_RH_Cont_Cing_5,5.0,-16.0,30.0,910.0,17Networks_RH_ContC_Cingp_4,ContC,Cont,904,7Networks_RH_Cont_Cing_5
908.0,7Networks_RH_Cont_PFCmp_1,8.0,35.0,20.0,792.0,17Networks_RH_SalVentAttnB_PFCmp_1,SalVentAttnB,Cont,905,7Networks_RH_Cont_PFCmp_1
909.0,7Networks_RH_Cont_PFCmp_2,10.0,28.0,28.0,794.0,17Networks_RH_SalVentAttnB_PFCmp_3,SalVentAttnB,Cont,906,7Networks_RH_Cont_PFCmp_2
910.0,7Networks_RH_Cont_PFCmp_3,6.0,35.0,33.0,893.0,17Networks_RH_ContB_PFCmp_1,ContB,Cont,907,7Networks_RH_Cont_PFCmp_3
911.0,7Networks_RH_Cont_PFCmp_4,4.0,38.0,47.0,894.0,17Networks_RH_ContB_PFCmp_2,ContB,Cont,908,7Networks_RH_Cont_PFCmp_4
912.0,7Networks_RH_Cont_PFCmp_5,5.0,25.0,48.0,895.0,17Networks_RH_ContB_PFCmp_3,ContB,Cont,909,7Networks_RH_Cont_PFCmp_5
913.0,7Networks_RH_Default_Par_1,58.0,-48.0,11.0,995.0,17Networks_RH_TempPar_17,TempPar,Default,910,7Networks_RH_Default_Par_1
914.0,7Networks_RH_Default_Par_2,53.0,-45.0,18.0,999.0,17Networks_RH_TempPar_21,TempPar,Default,911,7Networks_RH_Default_Par_2
915.0,7Networks_RH_Default_Par_3,48.0,-58.0,19.0,670.0,17Networks_RH_DorsAttnA_ParOcc_4,DorsAttnA,Default,912,7Networks_RH_Default_Par_3
916.0,7Networks_RH_Default_Par_4,50.0,-50.0,19.0,913.0,17Networks_RH_DefaultA_IPL_1,DefaultA,Default,913,7Networks_RH_Default_Par_4
917.0,7Networks_RH_Default_Par_5,56.0,-47.0,22.0,914.0,17Networks_RH_DefaultA_IPL_2,DefaultA,Default,914,7Networks_RH_Default_Par_5
918.0,7Networks_RH_Default_Par_6,51.0,-63.0,25.0,969.0,17Networks_RH_DefaultC_IPL_1,DefaultC,Default,915,7Networks_RH_Default_Par_6
919.0,7Networks_RH_Default_Par_7,54.0,-43.0,28.0,771.0,17Networks_RH_SalVentAttnB_IPL_1,SalVentAttnB,Default,916,7Networks_RH_Default_Par_7
920.0,7Networks_RH_Default_Par_8,46.0,-55.0,28.0,915.0,17Networks_RH_DefaultA_IPL_3,DefaultA,Default,917,7Networks_RH_Default_Par_8
921.0,7Networks_RH_Default_Par_9,57.0,-53.0,24.0,916.0,17Networks_RH_DefaultA_IPL_4,DefaultA,Default,918,7Networks_RH_Default_Par_9
922.0,7Networks_RH_Default_Par_10,53.0,-46.0,33.0,862.0,17Networks_RH_ContB_IPL_1,ContB,Default,919,7Networks_RH_Default_Par_10
923.0,7Networks_RH_Default_Par_11,49.0,-61.0,34.0,917.0,17Networks_RH_DefaultA_IPL_5,DefaultA,Default,920,7Networks_RH_Default_Par_11
924.0,7Networks_RH_Default_Par_12,47.0,-69.0,36.0,918.0,17Networks_RH_DefaultA_IPL_6,DefaultA,Default,921,7Networks_RH_Default_Par_12
925.0,7Networks_RH_Default_Par_13,57.0,-53.0,33.0,919.0,17Networks_RH_DefaultA_IPL_7,DefaultA,Default,922,7Networks_RH_Default_Par_13
926.0,7Networks_RH_Default_Par_14,49.0,-63.0,42.0,920.0,17Networks_RH_DefaultA_IPL_8,DefaultA,Default,923,7Networks_RH_Default_Par_14
927.0,7Networks_RH_Default_Par_15,53.0,-58.0,44.0,866.0,17Networks_RH_ContB_IPL_5,ContB,Default,924,7Networks_RH_Default_Par_15
928.0,7Networks_RH_Default_Par_16,44.0,-68.0,49.0,869.0,17Networks_RH_ContB_IPL_8,ContB,Default,925,7Networks_RH_Default_Par_16
929.0,7Networks_RH_Default_Temp_1,47.0,10.0,-37.0,951.0,17Networks_RH_DefaultB_AntTemp_1,DefaultB,Default,926,7Networks_RH_Default_Temp_1
930.0,7Networks_RH_Default_Temp_2,50.0,0.0,-32.0,952.0,17Networks_RH_DefaultB_AntTemp_2,DefaultB,Default,927,7Networks_RH_Default_Temp_2
931.0,7Networks_RH_Default_Temp_3,60.0,-8.0,-25.0,953.0,17Networks_RH_DefaultB_AntTemp_3,DefaultB,Default,928,7Networks_RH_Default_Temp_3
932.0,7Networks_RH_Default_Temp_4,52.0,8.0,-26.0,954.0,17Networks_RH_DefaultB_AntTemp_4,DefaultB,Default,929,7Networks_RH_Default_Temp_4
933.0,7Networks_RH_Default_Temp_5,49.0,17.0,-22.0,979.0,17Networks_RH_TempPar_1,TempPar,Default,930,7Networks_RH_Default_Temp_5
934.0,7Networks_RH_Default_Temp_6,58.0,-4.0,-18.0,911.0,17Networks_RH_DefaultA_Temp_1,DefaultA,Default,931,7Networks_RH_Default_Temp_6
935.0,7Networks_RH_Default_Temp_7,64.0,-24.0,-17.0,858.0,17Networks_RH_ContB_Temp_2,ContB,Default,932,7Networks_RH_Default_Temp_7
936.0,7Networks_RH_Default_Temp_8,66.0,-12.0,-13.0,912.0,17Networks_RH_DefaultA_Temp_2,DefaultA,Default,933,7Networks_RH_Default_Temp_8
937.0,7Networks_RH_Default_Temp_9,53.0,4.0,-15.0,980.0,17Networks_RH_TempPar_2,TempPar,Default,934,7Networks_RH_Default_Temp_9
938.0,7Networks_RH_Default_Temp_10,67.0,-30.0,-13.0,860.0,17Networks_RH_ContB_Temp_4,ContB,Default,935,7Networks_RH_Default_Temp_10
939.0,7Networks_RH_Default_Temp_11,51.0,-8.0,-13.0,981.0,17Networks_RH_TempPar_3,TempPar,Default,936,7Networks_RH_Default_Temp_11
940.0,7Networks_RH_Default_Temp_12,64.0,-22.0,-8.0,948.0,17Networks_RH_DefaultB_Temp_1,DefaultB,Default,937,7Networks_RH_Default_Temp_12
941.0,7Networks_RH_Default_Temp_13,50.0,-17.0,-11.0,982.0,17Networks_RH_TempPar_4,TempPar,Default,938,7Networks_RH_Default_Temp_13
942.0,7Networks_RH_Default_Temp_14,54.0,-27.0,-6.0,949.0,17Networks_RH_DefaultB_Temp_2,DefaultB,Default,939,7Networks_RH_Default_Temp_14
943.0,7Networks_RH_Default_Temp_15,65.0,-33.0,-2.0,950.0,17Networks_RH_DefaultB_Temp_3,DefaultB,Default,940,7Networks_RH_Default_Temp_15
944.0,7Networks_RH_Default_Temp_16,48.0,-23.0,-5.0,985.0,17Networks_RH_TempPar_7,TempPar,Default,941,7Networks_RH_Default_Temp_16
945.0,7Networks_RH_Default_Temp_17,48.0,-30.0,-1.0,987.0,17Networks_RH_TempPar_9,TempPar,Default,942,7Networks_RH_Default_Temp_17
946.0,7Networks_RH_Default_Temp_18,55.0,-37.0,-1.0,988.0,17Networks_RH_TempPar_10,TempPar,Default,943,7Networks_RH_Default_Temp_18
947.0,7Networks_RH_Default_PFCv_1,29.0,19.0,-20.0,804.0,17Networks_RH_LimbicB_OFC_7,LimbicB,Default,944,7Networks_RH_Default_PFCv_1
948.0,7Networks_RH_Default_PFCv_2,31.0,20.0,-13.0,783.0,17Networks_RH_SalVentAttnB_Ins_1,SalVentAttnB,Default,945,7Networks_RH_Default_PFCv_2
949.0,7Networks_RH_Default_PFCv_3,35.0,27.0,-19.0,963.0,17Networks_RH_DefaultB_PFCv_1,DefaultB,Default,946,7Networks_RH_Default_PFCv_3
950.0,7Networks_RH_Default_PFCv_4,35.0,37.0,-13.0,885.0,17Networks_RH_ContB_PFClv_1,ContB,Default,947,7Networks_RH_Default_PFCv_4
951.0,7Networks_RH_Default_PFCv_5,41.0,25.0,-14.0,964.0,17Networks_RH_DefaultB_PFCv_2,DefaultB,Default,948,7Networks_RH_Default_PFCv_5
952.0,7Networks_RH_Default_PFCv_6,48.0,35.0,-14.0,965.0,17Networks_RH_DefaultB_PFCv_3,DefaultB,Default,949,7Networks_RH_Default_PFCv_6
953.0,7Networks_RH_Default_PFCv_7,42.0,26.0,-5.0,786.0,17Networks_RH_SalVentAttnB_Ins_4,SalVentAttnB,Default,950,7Networks_RH_Default_PFCv_7
954.0,7Networks_RH_Default_PFCv_8,50.0,34.0,-6.0,966.0,17Networks_RH_DefaultB_PFCv_4,DefaultB,Default,951,7Networks_RH_Default_PFCv_8
955.0,7Networks_RH_Default_PFCv_9,53.0,29.0,1.0,967.0,17Networks_RH_DefaultB_PFCv_5,DefaultB,Default,952,7Networks_RH_Default_PFCv_9
956.0,7Networks_RH_Default_PFCv_10,56.0,21.0,9.0,968.0,17Networks_RH_DefaultB_PFCv_6,DefaultB,Default,953,7Networks_RH_Default_PFCv_10
957.0,7Networks_RH_Default_PFCdPFCm_1,5.0,45.0,-12.0,938.0,17Networks_RH_DefaultA_PFCm_1,DefaultA,Default,954,7Networks_RH_Default_PFCdPFCm_1
958.0,7Networks_RH_Default_PFCdPFCm_2,5.0,34.0,-5.0,939.0,17Networks_RH_DefaultA_PFCm_2,DefaultA,Default,955,7Networks_RH_Default_PFCdPFCm_2
959.0,7Networks_RH_Default_PFCdPFCm_3,8.0,52.0,-4.0,940.0,17Networks_RH_DefaultA_PFCm_3,DefaultA,Default,956,7Networks_RH_Default_PFCdPFCm_3
960.0,7Networks_RH_Default_PFCdPFCm_4,9.0,67.0,0.0,941.0,17Networks_RH_DefaultA_PFCm_4,DefaultA,Default,957,7Networks_RH_Default_PFCdPFCm_4
961.0,7Networks_RH_Default_PFCdPFCm_5,11.0,46.0,-1.0,942.0,17Networks_RH_DefaultA_PFCm_5,DefaultA,Default,958,7Networks_RH_Default_PFCdPFCm_5
962.0,7Networks_RH_Default_PFCdPFCm_6,17.0,67.0,10.0,943.0,17Networks_RH_DefaultA_PFCm_6,DefaultA,Default,959,7Networks_RH_Default_PFCdPFCm_6
963.0,7Networks_RH_Default_PFCdPFCm_7,8.0,42.0,7.0,944.0,17Networks_RH_DefaultA_PFCm_7,DefaultA,Default,960,7Networks_RH_Default_PFCdPFCm_7
964.0,7Networks_RH_Default_PFCdPFCm_8,7.0,57.0,11.0,945.0,17Networks_RH_DefaultA_PFCm_8,DefaultA,Default,961,7Networks_RH_Default_PFCdPFCm_8
965.0,7Networks_RH_Default_PFCdPFCm_9,6.0,29.0,14.0,946.0,17Networks_RH_DefaultA_PFCm_9,DefaultA,Default,962,7Networks_RH_Default_PFCdPFCm_9
966.0,7Networks_RH_Default_PFCdPFCm_10,16.0,64.0,21.0,955.0,17Networks_RH_DefaultB_PFCd_1,DefaultB,Default,963,7Networks_RH_Default_PFCdPFCm_10
967.0,7Networks_RH_Default_PFCdPFCm_11,8.0,45.0,22.0,947.0,17Networks_RH_DefaultA_PFCm_10,DefaultA,Default,964,7Networks_RH_Default_PFCdPFCm_11
968.0,7Networks_RH_Default_PFCdPFCm_12,6.0,19.0,22.0,797.0,17Networks_RH_SalVentAttnB_Cinga_1,SalVentAttnB,Default,965,7Networks_RH_Default_PFCdPFCm_12
969.0,7Networks_RH_Default_PFCdPFCm_13,6.0,57.0,28.0,956.0,17Networks_RH_DefaultB_PFCd_2,DefaultB,Default,966,7Networks_RH_Default_PFCdPFCm_13
970.0,7Networks_RH_Default_PFCdPFCm_14,15.0,54.0,35.0,957.0,17Networks_RH_DefaultB_PFCd_3,DefaultB,Default,967,7Networks_RH_Default_PFCdPFCm_14
971.0,7Networks_RH_Default_PFCdPFCm_15,5.0,46.0,35.0,958.0,17Networks_RH_DefaultB_PFCd_4,DefaultB,Default,968,7Networks_RH_Default_PFCdPFCm_15
972.0,7Networks_RH_Default_PFCdPFCm_16,20.0,46.0,36.0,921.0,17Networks_RH_DefaultA_PFCd_1,DefaultA,Default,969,7Networks_RH_Default_PFCdPFCm_16
973.0,7Networks_RH_Default_PFCdPFCm_17,26.0,34.0,34.0,922.0,17Networks_RH_DefaultA_PFCd_2,DefaultA,Default,970,7Networks_RH_Default_PFCdPFCm_17
974.0,7Networks_RH_Default_PFCdPFCm_18,9.0,48.0,48.0,959.0,17Networks_RH_DefaultB_PFCd_5,DefaultB,Default,971,7Networks_RH_Default_PFCdPFCm_18
975.0,7Networks_RH_Default_PFCdPFCm_19,22.0,40.0,46.0,923.0,17Networks_RH_DefaultA_PFCd_3,DefaultA,Default,972,7Networks_RH_Default_PFCdPFCm_19
976.0,7Networks_RH_Default_PFCdPFCm_20,27.0,29.0,42.0,924.0,17Networks_RH_DefaultA_PFCd_4,DefaultA,Default,973,7Networks_RH_Default_PFCdPFCm_20
977.0,7Networks_RH_Default_PFCdPFCm_21,14.0,34.0,56.0,960.0,17Networks_RH_DefaultB_PFCd_6,DefaultB,Default,974,7Networks_RH_Default_PFCdPFCm_21
978.0,7Networks_RH_Default_PFCdPFCm_22,24.0,27.0,53.0,925.0,17Networks_RH_DefaultA_PFCd_5,DefaultA,Default,975,7Networks_RH_Default_PFCdPFCm_22
979.0,7Networks_RH_Default_PFCdPFCm_23,5.0,24.0,61.0,961.0,17Networks_RH_DefaultB_PFCd_7,DefaultB,Default,976,7Networks_RH_Default_PFCdPFCm_23
980.0,7Networks_RH_Default_PFCdPFCm_24,11.0,19.0,64.0,962.0,17Networks_RH_DefaultB_PFCd_8,DefaultB,Default,977,7Networks_RH_Default_PFCdPFCm_24
981.0,7Networks_RH_Default_pCunPCC_1,10.0,-48.0,7.0,972.0,17Networks_RH_DefaultC_Rsp_2,DefaultC,Default,978,7Networks_RH_Default_pCunPCC_1
982.0,7Networks_RH_Default_pCunPCC_2,11.0,-54.0,13.0,973.0,17Networks_RH_DefaultC_Rsp_3,DefaultC,Default,979,7Networks_RH_Default_pCunPCC_2
983.0,7Networks_RH_Default_pCunPCC_3,7.0,-47.0,14.0,926.0,17Networks_RH_DefaultA_pCunPCC_1,DefaultA,Default,980,7Networks_RH_Default_pCunPCC_3
984.0,7Networks_RH_Default_pCunPCC_4,16.0,-58.0,22.0,974.0,17Networks_RH_DefaultC_Rsp_4,DefaultC,Default,981,7Networks_RH_Default_pCunPCC_4
985.0,7Networks_RH_Default_pCunPCC_5,8.0,-42.0,23.0,907.0,17Networks_RH_ContC_Cingp_1,ContC,Default,982,7Networks_RH_Default_pCunPCC_5
986.0,7Networks_RH_Default_pCunPCC_6,5.0,-53.0,20.0,927.0,17Networks_RH_DefaultA_pCunPCC_2,DefaultA,Default,983,7Networks_RH_Default_pCunPCC_6
987.0,7Networks_RH_Default_pCunPCC_7,4.0,-61.0,23.0,928.0,17Networks_RH_DefaultA_pCunPCC_3,DefaultA,Default,984,7Networks_RH_Default_pCunPCC_7
988.0,7Networks_RH_Default_pCunPCC_8,5.0,-45.0,29.0,929.0,17Networks_RH_DefaultA_pCunPCC_4,DefaultA,Default,985,7Networks_RH_Default_pCunPCC_8
989.0,7Networks_RH_Default_pCunPCC_9,6.0,-66.0,28.0,930.0,17Networks_RH_DefaultA_pCunPCC_5,DefaultA,Default,986,7Networks_RH_Default_pCunPCC_9
990.0,7Networks_RH_Default_pCunPCC_10,8.0,-54.0,29.0,931.0,17Networks_RH_DefaultA_pCunPCC_6,DefaultA,Default,987,7Networks_RH_Default_pCunPCC_10
991.0,7Networks_RH_Default_pCunPCC_11,6.0,-38.0,32.0,932.0,17Networks_RH_DefaultA_pCunPCC_7,DefaultA,Default,988,7Networks_RH_Default_pCunPCC_11
992.0,7Networks_RH_Default_pCunPCC_12,4.0,-29.0,36.0,933.0,17Networks_RH_DefaultA_pCunPCC_8,DefaultA,Default,989,7Networks_RH_Default_pCunPCC_12
993.0,7Networks_RH_Default_pCunPCC_13,12.0,-44.0,34.0,934.0,17Networks_RH_DefaultA_pCunPCC_9,DefaultA,Default,990,7Networks_RH_Default_pCunPCC_13
994.0,7Networks_RH_Default_pCunPCC_14,4.0,-16.0,37.0,935.0,17Networks_RH_DefaultA_pCunPCC_10,DefaultA,Default,991,7Networks_RH_Default_pCunPCC_14
995.0,7Networks_RH_Default_pCunPCC_15,4.0,-65.0,36.0,936.0,17Networks_RH_DefaultA_pCunPCC_11,DefaultA,Default,992,7Networks_RH_Default_pCunPCC_15
996.0,7Networks_RH_Default_pCunPCC_16,10.0,-53.0,36.0,937.0,17Networks_RH_DefaultA_pCunPCC_12,DefaultA,Default,993,7Networks_RH_Default_pCunPCC_16
997.0,7Networks_RH_Default_pCunPCC_17,7.0,-50.0,44.0,901.0,17Networks_RH_ContC_pCun_6,ContC,Default,994,7Networks_RH_Default_pCunPCC_17
998.0,7Networks_RH_Default_pCunPCC_18,6.0,-62.0,44.0,903.0,17Networks_RH_ContC_pCun_8,ContC,Default,995,7Networks_RH_Default_pCunPCC_18
